user_name,text,place_name,country
DSabioC,Una propuesta interesante pra amar el gobierno https://t.co/rclXDym7vh,Madrid,ES
KikoSerranoH,@janogarcia_ La gente cree que ésto es un juego....y va a morir muchas más gente por ésto....el Gobierno quiere pod… https://t.co/rlt13Rn7xE,Madrid,ES
Javiermelero10,@iescolar La misa es por los difuntos del covid-19 pequeño detalle para usted y el gobierno que pretende ignorarlos.,Vélez-Málaga,ES
summus_2,#irresponsables #ninosenlacalle #paisdepandereta La verdad que el gobierno ha hecho que debía. La gente no ha respo… https://t.co/lXfTxu5nqX,Burriana,ES
trumpllo,"Es el 5 titular sobre este tema, tardo menos iglesias en comprar que este panfleto en redactar los textos",Coín,ES
Chechucherias,"Que bonito decir que el Gobierno lo hace fatal, que tiene la culpa de todo, y luego salir en manada a la calle. Cua… https://t.co/1dhgmbCKVq",Talavera de la Reina,ES
Flordelima17,@dmartinezpr Rosa Díez sólo odia descaradamente a Iglesias y Sánchez. Y lo hace sin pudor. Cree que nos engaña.,Nigrán,ES
xDaniik,@DecayQQ el gobierno debe preveer que vamos a ser gilipollas tb t digo,Aljaraque,ES
PeterPate15,"@iescolar Saca lo de guns Cuba 
Claro Garzón tiene coche oficial 
Dimisión el gobierno por Cuba",Sevilla,ES
CatalanChiflado,@Angie41940 @Adrian_Lastra Se la echamos a Vox si quieres pedazo de mandril,Miguelturra,ES
lara_martinez8,"Como la concejala de VOX ha borrado las fotos, razón de más para compartirlo.

Con gentuza como esta que haya un re… https://t.co/Gd0Pej2ydw",Sant Joan d'Alacant,ES
MMagan82,"Estamos a dos telediarios del ""El Gobierno consigue que los niños salgan a pasear por primera vez desde la Guerra Civil""",Madrid,ES
CabotCardell,@jmperpinya1 Juanmi por los que se ve no os va bien nada del gobierno pensad que el respeto es fundamental y vosotr… https://t.co/RWQOeUWXyW,Palma,ES
JrobledoJavier,"@pablocasado_ mueve el culo y haz oposicion de verdad, hay que quitar a este gobierno ya. Dejate de mariconadas y m… https://t.co/F2RnhPNSBw",Corbera de Llobregat,ES
yasmaribello,"La misión espiritual de los perros 🐶🐾
Sabias que a ellos también podemos calcular su misión de vida?
Puedes leerlo… https://t.co/zJAZ1YprI4",Madrid,ES
El_Perchelero,El gobierno socialcomunista nos dice k saquemos nuestros niños sin saber cuántos contagiados hay en España y si se… https://t.co/qSPuikW2WK,Málaga,ES
claudiaceacero,@jesus_manueel02 Pero claro el gobierno no tiene la culpa😂,Baeza,ES
mellamanchapi,"¿Que el gobierno tiene parte de culpa al no preveer que iba a pasar esto? Si, ¿Que somos unos irresponsables,los pr… https://t.co/nke8vPQi2v",Granada,ES
cachitopucela,"Luego echaremos la culpa al gobierno (Del que no son fan, y la tiene, y mucha), pero si para lo básico hacemos lo q… https://t.co/0cdTSlnoIh",Valladolid,ES
MiguelGarciaDo6,8.Exigiendo a toda nuestra clase Politica a TODA...que han sido elegidos para Servir al Pueblo ...que s nadie se le… https://t.co/ePo7MOFSxB,Palma,ES
solaresplacasmf,@rakeld12341234 @Lauralagartija Un facha no tiene sentimientos,Vilassar de Mar,ES
EMmanuE83031381,No hace falta pulserita ni ser facha y si español para lo que haga falta los temporeros ya no vienen.,Madrid,ES
